# Array definition for CST antenna array tools
# unit: meters
# Element	X 	Y 	Z 	Magnitude	Phase	Phi	Theta	Gamma
127	0.178701100000000	0.0851416000000000	0	0.00165583501517703	-50.7912181147229	0	0	0
128	0.191893100000000	0.0851416000000000	0	0.000378366700991668	108.198818101956	0	0	0
129	0	0.106751500000000	0	0.000851813247798610	-3.97394473884610	0	0	0
130	0.0145838000000000	0.106751500000000	0	0.00377385106747848	133.934111855767	0	0	0
131	0.0208875000000000	0.106751500000000	0	0.00362709807302632	-142.084397245851	0	0	0
132	0.0291431000000000	0.106751500000000	0	0.00329307905760208	-79.9610886823969	0	0	0
133	0.0421765000000000	0.106751500000000	0	0.00512700068804956	73.6973120233310	0	0	0
134	0.0498930000000000	0.106751500000000	0	0.00405610134440886	129.387971673603	0	0	0
135	0.0719496000000000	0.106751500000000	0	0.00582360139984935	-22.6514387627177	0	0	0
136	0.0851416000000000	0.106751500000000	0	0.00677624517978759	131.399767573831	0	0	0
137	0.106751500000000	0.106751500000000	0	0.00317660925914239	-15.6416536807913	0	0	0
138	0.121335300000000	0.106751500000000	0	0.00732891660435952	113.738262734314	0	0	0
139	0.127639000000000	0.106751500000000	0	0.00490087843023314	-163.743941190433	0	0	0
140	0.135894600000000	0.106751500000000	0	0.00307971969746541	-110.060471424636	0	0	0
141	0.148928000000000	0.106751500000000	0	0.00315358957047645	50.8196249965503	0	0	0
142	0.156644500000000	0.106751500000000	0	0.00231808117449229	102.412812610612	0	0	0
143	0.178701100000000	0.106751500000000	0	0.000706261820978622	-50.7913186851672	0	0	0
144	0.191893100000000	0.106751500000000	0	0.000161384408948182	108.198717531511	0	0	0
145	0	0.121335300000000	0	0.00120080278081328	-3.97381569128890	0	0	0
146	0.0145838000000000	0.121335300000000	0	0.00532000513952410	133.934240903324	0	0	0
147	0.0208875000000000	0.121335300000000	0	0.00511312715977179	-142.084268198294	0	0	0
148	0.0291431000000000	0.121335300000000	0	0.00464225990852568	-79.9609596348397	0	0	0
149	0.0421765000000000	0.121335300000000	0	0.00722754277343319	73.6974410708882	0	0	0
150	0.0498930000000000	0.121335300000000	0	0.00571789390011712	129.388100721160	0	0	0
151	0.0719496000000000	0.121335300000000	0	0.00820954214243510	-22.6513097151605	0	0	0
152	0.0851416000000000	0.121335300000000	0	0.00955248591917330	131.399896621388	0	0	0
153	0.106751500000000	0.121335300000000	0	0.00447807220866001	-15.6415246332341	0	0	0
154	0.121335300000000	0.121335300000000	0	0.0103315878939514	113.738391781871	0	0	0
155	0.127639000000000	0.121335300000000	0	0.00690877778980389	-163.743812142875	0	0	0
156	0.135894600000000	0.121335300000000	0	0.00434148680640879	-110.060342377079	0	0	0
157	0.148928000000000	0.121335300000000	0	0.00444562130908202	50.8197540441075	0	0	0
158	0.156644500000000	0.121335300000000	0	0.00326780350936659	102.412941658169	0	0	0
159	0.178701100000000	0.121335300000000	0	0.000995618653273031	-50.7911896376100	0	0	0
160	0.191893100000000	0.121335300000000	0	0.000227503913029891	108.198846579069	0	0	0
161	0	0.127639000000000	0	0.00127529971451820	-3.97367312955692	0	0	0
162	0.0145838000000000	0.127639000000000	0	0.00565005440033657	133.934383465056	0	0	0
163	0.0208875000000000	0.127639000000000	0	0.00543034186074741	-142.084125636562	0	0	0
164	0.0291431000000000	0.127639000000000	0	0.00493026234670479	-79.9608170731077	0	0	0
165	0.0421765000000000	0.127639000000000	0	0.00767593428571574	73.6975836326202	0	0	0
166	0.0498930000000000	0.127639000000000	0	0.00607262789108967	129.388243282892	0	0	0
167	0.0719496000000000	0.127639000000000	0	0.00871885618342904	-22.6511671534286	0	0	0
168	0.0851416000000000	0.127639000000000	0	0.0101451152181794	131.400039183120	0	0	0
169	0.106751500000000	0.127639000000000	0	0.00475588856100763	-15.6413820715022	0	0	0
170	0.121335300000000	0.127639000000000	0	0.0109725521144714	113.738534343603	0	0	0
171	0.127639000000000	0.127639000000000	0	0.00733739335366901	-163.743669581143	0	0	0
172	0.135894600000000	0.127639000000000	0	0.00461082949945185	-110.060199815347	0	0	0
173	0.148928000000000	0.127639000000000	0	0.00472142443115306	50.8198966058395	0	0	0
174	0.156644500000000	0.127639000000000	0	0.00347053566929141	102.413084219901	0	0	0
175	0.178701100000000	0.127639000000000	0	0.00105738611250396	-50.7910470758780	0	0	0
176	0.191893100000000	0.127639000000000	0	0.000241618090809460	108.198989140801	0	0	0
177	0	0.135894600000000	0	0.000971668915438310	-3.97376031235555	0	0	0
178	0.0145838000000000	0.135894600000000	0	0.00430485647322250	133.934296282257	0	0	0
179	0.0208875000000000	0.135894600000000	0	0.00413745437736971	-142.084212819361	0	0	0
180	0.0291431000000000	0.135894600000000	0	0.00375643671265058	-79.9609042559063	0	0	0
181	0.0421765000000000	0.135894600000000	0	0.00584840305182292	73.6974964498215	0	0	0
182	0.0498930000000000	0.135894600000000	0	0.00462682120102624	129.388156100093	0	0	0
183	0.0719496000000000	0.135894600000000	0	0.00664302001731075	-22.6512543362272	0	0	0
184	0.0851416000000000	0.135894600000000	0	0.00772970697697457	131.399952000322	0	0	0
185	0.106751500000000	0.135894600000000	0	0.00362357885555206	-15.6414692543008	0	0	0
186	0.121335300000000	0.135894600000000	0	0.00836014286781729	113.738447160805	0	0	0
187	0.127639000000000	0.135894600000000	0	0.00559046392070848	-163.743756763942	0	0	0
188	0.135894600000000	0.135894600000000	0	0.00351305630198147	-110.060286998146	0	0	0
189	0.148928000000000	0.135894600000000	0	0.00359732014687670	50.8198094230409	0	0	0
190	0.156644500000000	0.135894600000000	0	0.00264425028201653	102.412997037102	0	0	0
191	0.178701100000000	0.135894600000000	0	0.000805637455603451	-50.7911342586766	0	0	0
192	0.191893100000000	0.135894600000000	0	0.000184092245590911	108.198901958002	0	0	0
193	0	0.148928000000000	0	0.00100395788502218	-3.97392715658061	0	0	0
194	0.0145838000000000	0.148928000000000	0	0.00444790867703217	133.934129438032	0	0	0
195	0.0208875000000000	0.148928000000000	0	0.00427494373863561	-142.084379663586	0	0	0
196	0.0291431000000000	0.148928000000000	0	0.00388126469554822	-79.9610711001314	0	0	0
197	0.0421765000000000	0.148928000000000	0	0.00604274796216652	73.6973296055965	0	0	0
198	0.0498930000000000	0.148928000000000	0	0.00478057242910021	129.387989255868	0	0	0
199	0.0719496000000000	0.148928000000000	0	0.00686377038595584	-22.6514211804523	0	0	0
200	0.0851416000000000	0.148928000000000	0	0.00798656841352590	131.399785156097	0	0	0
201	0.106751500000000	0.148928000000000	0	0.00374399191559001	-15.6416360985258	0	0	0
202	0.121335300000000	0.148928000000000	0	0.00863795395602525	113.738280316580	0	0	0
203	0.127639000000000	0.148928000000000	0	0.00577623740448206	-163.743923608167	0	0	0
204	0.135894600000000	0.148928000000000	0	0.00362979665075545	-110.060453842371	0	0	0
205	0.148928000000000	0.148928000000000	0	0.00371686061890420	50.8196425788158	0	0	0
206	0.156644500000000	0.148928000000000	0	0.00273211983878799	102.412830192877	0	0	0
207	0.178701100000000	0.148928000000000	0	0.000832409129458914	-50.7913011029017	0	0	0
208	0.191893100000000	0.148928000000000	0	0.000190209708879144	108.198735113777	0	0	0
209	0	0.156644500000000	0	0.000842539768560267	-3.97386319209925	0	0	0
210	0.0145838000000000	0.156644500000000	0	0.00373276608833158	133.934193402514	0	0	0
211	0.0208875000000000	0.156644500000000	0	0.00358761075727657	-142.084315699105	0	0	0
212	0.0291431000000000	0.156644500000000	0	0.00325722812390291	-79.9610071356501	0	0	0
213	0.0421765000000000	0.156644500000000	0	0.00507118430510591	73.6973935700778	0	0	0
214	0.0498930000000000	0.156644500000000	0	0.00401194357660799	129.388053220349	0	0	0
215	0.0719496000000000	0.156644500000000	0	0.00576020129799198	-22.6513572159709	0	0	0
216	0.0851416000000000	0.156644500000000	0	0.00670247388173478	131.399849120578	0	0	0
217	0.106751500000000	0.156644500000000	0	0.00314202630320795	-15.6415721340445	0	0	0
218	0.121335300000000	0.156644500000000	0	0.00724912850979099	113.738344281061	0	0	0
